seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,small,param_matched,wikitext2,validation,51200,3.273397207260132,26.400876418194734,4.722513917773974
42,small,deepseekv4,wikitext2,validation,5120,5.318901538848877,204.1594975000694,7.673552873073951
42,small,deepseekv4,wikitext2,validation,10240,4.876677989959717,131.19411101677338,7.035559152127242
42,small,deepseekv4,wikitext2,validation,15360,4.360105514526367,78.26539212320375,6.290302603559812
42,small,deepseekv4,wikitext2,validation,20480,3.9305901527404785,50.93702942827417,5.6706429211256815
42,small,deepseekv4,wikitext2,validation,25600,3.6270041465759277,37.60000361637114,5.232660895548798
42,small,deepseekv4,wikitext2,validation,30720,3.425372838973999,30.73410158651383,4.941768407983538
42,small,deepseekv4,wikitext2,validation,35840,3.2846028804779053,26.698379761576952,4.738680286955079
42,small,deepseekv4,wikitext2,validation,40960,3.1746652126312256,23.918810812048513,4.580073758745776
42,small,deepseekv4,wikitext2,validation,46080,3.0852527618408203,21.87299480184755,4.45107885939673
42,small,deepseekv4,wikitext2,validation,51200,3.0103631019592285,20.294767657439486,4.3430359184716965
42,small,deepseekv4_no_hash,wikitext2,validation,5120,5.3180012702941895,203.9757818334563,7.672254060094636
42,small,deepseekv4_no_hash,wikitext2,validation,10240,4.87120246887207,130.47771799773454,7.0276596450078115
42,small,deepseekv4_no_hash,wikitext2,validation,15360,4.345800399780273,77.15376662986516,6.269664685456275
42,small,deepseekv4_no_hash,wikitext2,validation,20480,3.915255546569824,50.161888571849545,5.648519760849293
42,small,deepseekv4_no_hash,wikitext2,validation,25600,3.6150035858154297,37.15147914375483,5.215347746051741
42,small,deepseekv4_no_hash,wikitext2,validation,30720,3.418787717819214,30.53237871770423,4.932268086349877
42,small,deepseekv4_no_hash,wikitext2,validation,35840,3.281419515609741,26.613524212153667,4.734087662246438
42,small,deepseekv4_no_hash,wikitext2,validation,40960,3.1752922534942627,23.933813587007837,4.580978387489314
42,small,deepseekv4_no_hash,wikitext2,validation,46080,3.093007802963257,22.043280207747127,4.462267018765959
42,small,deepseekv4_no_hash,wikitext2,validation,51200,3.0240631103515625,20.57471943685984,4.362800852639453
42,small,deepseekv4_no_shared,wikitext2,validation,5120,5.318180084228516,204.01225880671157,7.672512034070929
42,small,deepseekv4_no_shared,wikitext2,validation,10240,4.8797383308410645,131.5962247067531,7.039974290740192
42,small,deepseekv4_no_shared,wikitext2,validation,15360,4.354285717010498,77.81122624714934,6.28190641054469
42,small,deepseekv4_no_shared,wikitext2,validation,20480,3.917562484741211,50.27774252992301,5.651847969108791
42,small,deepseekv4_no_shared,wikitext2,validation,25600,3.6156880855560303,37.176918027052906,5.216335270432995
42,small,deepseekv4_no_shared,wikitext2,validation,30720,3.4211323261260986,30.604049173215223,4.935650641127046
42,small,deepseekv4_no_shared,wikitext2,validation,35840,3.2860355377197266,26.7366568010792,4.740747174453148
42,small,deepseekv4_no_shared,wikitext2,validation,40960,3.1849100589752197,24.16511487290607,4.594853947760925
42,small,deepseekv4_no_shared,wikitext2,validation,46080,3.1110339164733887,22.44423787589475,4.488273203333527
42,small,deepseekv4_no_shared,wikitext2,validation,51200,3.0495424270629883,21.105684822531487,4.3995597365042665
43,small,native,wikitext2,validation,5120,5.260890007019043,192.65287743165428,7.589859923788677
43,small,native,wikitext2,validation,10240,4.6705427169799805,106.75566482530586,6.738168816047083
43,small,native,wikitext2,validation,15360,4.194354057312012,66.31088470936207,6.051173798216542
43,small,native,wikitext2,validation,20480,3.8356502056121826,46.32353770222314,5.533673530221429
43,small,native,wikitext2,validation,25600,3.5834991931915283,35.99928917749277,5.16989651504702
43,small,native,wikitext2,validation,30720,3.417962074279785,30.50718026037577,4.931076934510001
43,small,native,wikitext2,validation,35840,3.3146865367889404,27.513768078596723,4.782081828726817
43,small,native,wikitext2,validation,40960,3.2451179027557373,25.66473582493079,4.681715505405696
43,small,native,wikitext2,validation,46080,3.173487424850464,23.89065611232903,4.578374570155251
43,small,native,wikitext2,validation,51200,3.129624128341675,22.865383477427507,4.515093209804979
43,small,param_matched,wikitext2,validation,5120,5.279125213623047,196.19816877423395,7.6161677659258595
43,small,param_matched,wikitext2,validation,10240,4.830023288726807,125.21387669257636,6.968250646024366
43,small,param_matched,wikitext2,validation,15360,4.452723503112793,85.86046710683486,6.4239221163905595
43,small,param_matched,wikitext2,validation,20480,4.129781723022461,62.16435240679374,5.958015611758383
43,small,param_matched,wikitext2,validation,25600,3.8673348426818848,47.81478219745137,5.579384798994255
43,small,param_matched,wikitext2,validation,30720,3.664487600326538,39.03612893796826,5.286738088390194
43,small,param_matched,wikitext2,validation,35840,3.5142924785614014,33.59215234609553,5.070052331053918
